pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
126.729,-47.946,90.0,top,ANG1,,,Molex_Pico-Clasp_2pin_Vertical,CONN HEADER SMD 2POS 1MM,smt
131.929,-47.94,90.0,top,ANG3,,,Molex_Pico-Clasp_2pin_Vertical,CONN HEADER SMD 2POS 1MM,smt
102.329788,-50.230356,180.0,top,BT1,B2B-PH-SM4-TBT,,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,JST-PH-1x02-2.000mm,smt
126.761,-68.507,90.0,top,C10,,,C_0402_1005Metric,1uF,smt
114.002,-59.751,180.0,top,C11,CL05A105KO5NNNC,,C_0402_1005Metric,1uF,smt
113.922,-56.547,180.0,top,C12,CL05A105KO5NNNC,,C_0402_1005Metric,1uF,smt
124.945,-55.292,0.0,top,C14,,,C_0402_1005Metric,0.1uF,smt
102.982,-62.646,180.0,top,C15,CL05B104KO5NNNC,,C_0402_1005Metric,0.1uF,smt
130.142,-67.097,180.0,top,C16,,,C_0402_1005Metric,2.2nF,smt
126.8593,-70.994999,-90.0,top,C17,,,C_0402_1005Metric,1uF,smt
129.272,-69.156,180.0,top,C18,,,C_0402_1005Metric,0.1uF,smt
151.424,-55.465,0.0,top,C19,CL05B104KO5NNNC,,C_0402_1005Metric,0.1uF,smt
129.686,-65.708,90.0,top,C20,,,C_0402_1005Metric,2.2nF,smt
109.0,-64.5,90.0,top,C21,,,C_0402_1005Metric,10uF,smt
107.957,-61.677,0.0,top,C22,CL05A105KO5NNNC,,C_0402_1005Metric,1uF,smt
109.362,-62.351,90.0,top,C23,,,C_0402_1005Metric,10uF,smt
130.613,-65.716,90.0,top,C24,,,C_0402_1005Metric,2.2nF,smt
131.54,-65.716,90.0,top,C25,,,C_0402_1005Metric,2.2nF,smt
124.944,-56.212,0.0,top,C26,,,C_0402_1005Metric,1uF,smt
126.795,-56.43,0.0,top,C27,,,C_0402_1005Metric,0.1uF,smt
127.6,-75.090998,-90.0,top,C28,,,C_0402_1005Metric,1uF,smt
132.762,-75.572998,-90.0,top,C29,,,C_0402_1005Metric,10uF,smt
151.403,-56.396,0.0,top,C30,,,C_0402_1005Metric,10uF,smt
107.965,-54.818,0.0,top,C31,CL05B104KO5NNNC,,C_0402_1005Metric,0.1uF,smt
111.71,-59.714,180.0,top,C4,CL05A105KO5NNNC,,C_0402_1005Metric,1uF,smt
107.814,-60.46,180.0,top,C46,GRT155R61C474KE01D,,C_0402_1005Metric,0.47uF,smt
111.8983,-56.591,180.0,top,C5,CL05A105KO5NNNC,,C_0402_1005Metric,1uF,smt
127.384,-54.82,90.0,top,C59,,,C_0402_1005Metric,1uF,smt
127.672,-68.513,90.0,top,C6,,,C_0402_1005Metric,0.1uF,smt
128.326,-54.82,90.0,top,C61,,,C_0402_1005Metric,0.1uF,smt
131.42,-57.179,180.0,top,C66,,,C_0402_1005Metric,0.1uF,smt
148.502,-55.9012,90.0,top,C9,CL05A105KO5NNNC,,C_0402_1005Metric,1uF,smt
145.152,-47.156,0.0,top,CANFD1,,,JST_SMD_1.0mm-4_Vertical,JST-SH-1x04 1.0mm,smt
94.185,-69.699,180.0,top,CHARGLED2,,,LED_0603_1608Metric,RED_LED,smt
94.191,-67.091,180.0,top,CHARGLED3,,,LED_0603_1608Metric,YELLOW_LED,smt
136.0565,-54.731,0.0,top,D2,,,SOT-23,NUP2105L,smt
119.217,-47.51,0.0,top,FP1,,,Molex_Pico-Clasp_501331-0607_1x06-1MP_P1.00mm_Vertical,CONN HEADER SMD 6POS 1MM,smt
95.393,-60.9191,-90.0,top,J1,USB4105-GF-A,,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,USB_C_Receptacle_USB2.0,smt
110.644,-50.922,90.0,top,J2,,,SAMTEC_FTSH-105-01-F-DV-P-TR,Programming Header,smt
143.9332,-66.6807,-90.0,top,MCU1,ESP32-S3-WROOM-2-N32R8V,,ESP32-S3-WROOM-2,ESP32-S3-WROOM-2,smt
129.686,-51.382,180.0,top,R1,ERJ-2RKF1001X,,R_0402_1005Metric,10k,smt
