"Manufacturer","Mfg Part #","Qty","Reference","Description"
"Kingbright","APT1608EC","1","USER_LED2","Blue 465nm LED Indication - Discrete 2.65V 0603 (1608 Metric)"
"Kingbright","APT1608SECK/J4-PRV","1","USER_LED1","Orange 605nm LED Indication - Discrete 2.2V 0603 (1608 Metric)"
"Analog Devices Inc./Maxim Integrated","MAX17260SETD+T","1","U14","Battery Battery Monitor IC Lithium Ion 14-TDFN (3x3)"
"TDK InvenSense","ICM-42670-P","1","U13","Accelerometer, Gyroscope, 6 Axis Sensor Output"
"Texas Instruments","BQ25185DLHR","1","U12","Charger IC Multi-Chemistry 10-WSON (2.2x2)"
"Texas Instruments","TCAN3413DRBR","1","U8","1/1 Transceiver Half CANbus 8-SON (3x3)"
"Infineon Technologies","CY8C4149AZI-S593","1","U5","ARM® Cortex®-M0+ PSOC™ 4 CY8C4100S Microcontroller IC 32-Bit 48MHz 384KB (384K x 8) FLASH 48-TQFP (7x7)"
"onsemi","NCP167AMX330TBG","2","U4,U9","3.3V Linear Voltage Regulator IC Positive Fixed 1 Output 700mA 4-XDFN (1x1)"
"Memsic Inc.","MMC5983MA","1","U3","Magnetoresistive Sensor X, Y, Z Axis 16-LGA (3x3)"
"STMicroelectronics","USBLC6-2P6","1","U1","17V Clamp 5A (8/20µs) Ipp Tvs Diode Surface Mount SOT-666"
"Molex","54132-3262","1","TOUCH2","32 Position FFC, FPC Connector Contacts, Bottom 0.020"" (0.50mm) Surface Mount, Right Angle"
"JST Sales America Inc.","BM04B-SRSS-TB","1","TOUCH1","Connector Header Surface Mount 4 position 0.039"" (1.00mm)"
"Omron Electronics Inc-EMC Div","PTS810SJG250SMTRLFS","3","SW1,SW2,SW3","Tactile Switch SPST-NO Top Actuated Surface Mount"
"Panasonic Electronic Components","ERJ-2RKF5490X","1","R51","549 Ohms ±1% 0.1W, 1/10W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film"
"Panasonic Electronic Components","ERJ-2RKF2610X","1","R50","261 Ohms ±1% 0.1W, 1/10W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film"
"Panasonic Electronic Components","ERJ-2RKF6040X","2","R42,R43","604 Ohms ±1% 0.1W, 1/10W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film"
"Panasonic Electronic Components","ERJ-2RKF1200X","1","R19","120 Ohms ±1% 0.1W, 1/10W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film"
"Panasonic Electronic Components","ERJ-2RKF3000X","1","R15","300 Ohms ±1% 0.1W, 1/10W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film"
"Panasonic Electronic Components","ERJ-2RKF2201X","4","R12,R13,R14,R16","2.2 kOhms ±1% 0.1W, 1/10W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film"
"Panasonic Electronic Components","ERJ-2RKF1302X","1","R11","13 kOhms ±1% 0.1W, 1/10W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film"
"Panasonic Electronic Components","ERJ-2RKF5101X","2","R6,R7","5.1 kOhms ±1% 0.1W, 1/10W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film"
"Littelfuse Inc.","WSTC0805DLR005FNR","1","R3","5 mOhms ±1% 0.5W, 1/2W Chip Resistor 0805 (2012 Metric) Current Sense, High Voltage Metal Foil"
"Panasonic Electronic Components","ERJ-2RKF1002X","5","R1,R2,R5,R8,R21","10 kOhms ±1% 0.1W, 1/10W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film"
"Espressif Systems","ESP32-S3-WROOM-2-N32R8V","1","MCU1","Bluetooth, WiFi 802.11b/g/n, Bluetooth v5.0 Transceiver Module 2.4GHz PCB Trace Surface Mount"
"Samtec Inc.","FTSH-105-01-F-DV-K-TR","1","J2","Connector Header Surface Mount 10 position 0.050"" (1.27mm)"
